,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
302,1703624400.0,1.1953347402776435e+19,2223.5709559549846,2215.6349865803154,2223.338892654295,2.5365174300661956e+33,1.2292454955144895e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
303,1703620800.0,1.1042552053114042e+19,2219.1814818389207,2209.433276324357,2217.8096212644205,2.536490413032777e+33,1.2292378150195385e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
304,1703617200.0,1.2225198959560972e+19,2220.7656363814936,2204.773891958454,2210.13361007995,2.5364508010330167e+33,1.2292262224219614e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
305,1703613600.0,1.2202380676057977e+19,2208.5591074037093,2195.379505634735,2208.0588751706027,2.5363791422743575e+33,1.2291955328468194e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
306,1703610000.0,1.1871951345969869e+19,2223.041809126147,2183.6258202236318,2199.3135130910905,2.5362988295686474e+33,1.2291662669707658e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
307,1703606400.0,2.4343705681439252e+19,2231.2408487730536,2215.91068455173,2221.6205525602495,2.536182859664443e+33,1.2290952156599706e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
308,1703602800.0,1.3711521763784724e+19,2244.5032392788194,2226.382209563902,2227.77653515339,2.5361388441796996e+33,1.2290704265490606e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
309,1703599200.0,1.3899791718276758e+19,2250.3704803177966,2239.6308610002307,2240.633701464657,2.5360994456872523e+33,1.2290424331781478e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
310,1703595600.0,1.4227551211763278e+19,2250.6576076605156,2242.0221368038647,2247.46680325581,2.5360673133366746e+33,1.2290226550512024e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
311,1703592000.0,1.4191333365023427e+19,2246.536466221828,2240.8580463235753,2246.5179127803867,2.536037048667401e+33,1.2290099558985374e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
312,1703588400.0,1.387124154023933e+19,2242.509838424206,2235.7762050742344,2241.2223887525342,2.536016045628951e+33,1.2290048340798142e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
313,1703584800.0,1.386691467917323e+19,2238.84171384124,2221.3733437836167,2238.156190360668,2.535998215444226e+33,1.228999331782206e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
314,1703581200.0,1.1500566003662903e+19,2239.4776027444786,2219.888117331844,2221.43478850967,2.535935847412387e+33,1.228985394832613e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
315,1703577600.0,1.388723916178852e+19,2242.8625739999898,2230.9936081772425,2237.5393398682036,2.5359006430110985e+33,1.2289561056982072e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
316,1703574000.0,1.3886156055269257e+19,2241.033977991247,2224.8657882864213,2240.9824705971114,2.5358561843027784e+33,1.2289334428015666e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
317,1703570400.0,1.1486950410492875e+19,2235.131723292682,2224.300455011529,2228.666019279589,2.5358083898792021e+33,1.2289219512785133e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
318,1703566800.0,1.2903805107761449e+19,2270.5679164576773,2232.977324583473,2235.9741118122465,2.5357326428266447e+33,1.2288816947922647e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
319,1703563200.0,1.677113883978802e+19,2270.265376300238,2264.749777154259,2270.265376300238,2.5356705215026277e+33,1.2288272538087703e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
320,1703559600.0,1.6285456929654395e+19,2272.5056279123696,2267.196187595448,2268.7734926277526,2.5356558087849958e+33,1.2288217939318355e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
321,1703556000.0,1.6678635928655014e+19,2276.048921722136,2268.890187685077,2269.9571241419726,2.5356427170877628e+33,1.228815058526327e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
322,1703552400.0,1.6674867942477494e+19,2273.7113327988736,2262.193810192697,2271.7419699753327,2.535620466351927e+33,1.2288038761883839e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
323,1703548800.0,1.6096329457581711e+19,2272.627114020078,2264.825985001427,2266.2813135088495,2.5355601165199248e+33,1.2287815834100449e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
324,1703545200.0,1.667077725877688e+19,2284.948347361137,2272.3147378322365,2272.3152962650825,2.53554766898179e+33,1.2287713490871897e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
325,1703541600.0,1.7291288316127734e+19,2285.9518127126134,2270.950046706308,2284.8920774444955,2.5355415952974972e+33,1.2287588613267744e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
326,1703538000.0,1.667745205168226e+19,2271.2495965848325,2263.2851214412062,2271.1921662523155,2.535496828258297e+33,1.2287499306496388e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
327,1703534400.0,1.6154800058861089e+19,2274.379357687947,2258.988744301753,2267.9659676481865,2.5354701792614957e+33,1.2287407152793812e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
328,1703530800.0,1.783939830343222e+19,2277.130400664174,2273.5006868115784,2274.9256190428687,2.5354200394510017e+33,1.2287131057722486e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
329,1703527200.0,1.7902845372287924e+19,2282.182621447192,2272.771456,2274.632085919207,2.5354069428345996e+33,1.22870809362811e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
330,1703523600.0,3.530667322172143e+19,2280.987068495375,2275.549324028253,2279.4451265920657,2.5353864405960668e+33,1.2286948163253976e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
331,1703520000.0,2.0997668814950048e+19,2287.8814545770774,2271.301507232812,2275.9567434594574,2.535363707942585e+33,1.2286875447538723e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
332,1703516400.0,2.0849496139524837e+19,2292.926440092826,2286.174640520501,2286.7084249182462,2.5353344898899516e+33,1.228666347618382e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
333,1703512800.0,2.08118729600225e+19,2292.111485670032,2280.517285588961,2291.9566324035122,2.5353098584999934e+33,1.2286515120493708e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
334,1703509200.0,2.009667946505509e+19,2302.8368250521157,2284.167054532903,2289.0027080215464,2.5352741239873772e+33,1.2286381811989207e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
335,1703505600.0,1.939243102690827e+19,2298.9513588784175,2275.2648398504025,2298.924782633794,2.535241721774298e+33,1.2286163416279339e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
336,1703502000.0,2.2022318345344754e+19,2283.7157812145933,2273.718595880025,2279.2742482910026,2.5351813956089914e+33,1.228605258343346e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
337,1703498400.0,9.012335600022018e+19,2278.2548498274687,2273.4666412941874,2275.890063588688,2.5351514599723432e+33,1.2285948863008961e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
338,1703494800.0,1.9865216538564006e+19,2276.669960808759,2268.4356239999997,2273.4892188615736,2.535134902329326e+33,1.2285893818880622e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
339,1703491200.0,1.8919895375190286e+19,2286.3573313765096,2273.4008989999998,2273.582918712298,2.5351103316682154e+33,1.2285785773452319e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
340,1703487600.0,2.1056646218625712e+19,2283.7660082286607,2278.038811379956,2280.8206627871687,2.5350931278732782e+33,1.2285653291791553e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
341,1703484000.0,1.9528907687944675e+19,2289.175029750213,2283.6031811642083,2283.6933305906136,2.5350784950886756e+33,1.2285566395172567e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
342,1703480400.0,2.0289749381451715e+19,2285.5839588725335,2279.5012707649644,2285.455109973556,2.5350669434332395e+33,1.2285502108953837e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
343,1703476800.0,2.1817581821007327e+19,2281.098089806431,2275.906813227299,2279.7689272620805,2.5350526394591608e+33,1.228548381886576e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
344,1703473200.0,2.194521573976612e+19,2276.0166103668466,2270.2297321302863,2275.9188961519544,2.5350375393668774e+33,1.2285447696021986e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
345,1703469600.0,1.9803766426225648e+19,2272.823627584954,2261.3123791585326,2272.5957585232622,2.5350178633635012e+33,1.228538719465478e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
346,1703466000.0,1.9806817592310063e+19,2274.211710341196,2263.3443764460017,2272.1447377497398,2.534992473015971e+33,1.2285278715240586e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
347,1703462400.0,1.5919010796052103e+19,2270.8938830188235,2244.5824652467654,2263.3501906727793,2.5349590694770338e+33,1.2285200933897375e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
348,1703458800.0,1.638662343122029e+19,2270.687060148037,2257.909651599721,2265.057011695078,2.5348829532780205e+33,1.2284850476211906e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
349,1703455200.0,1.5245116611358974e+19,2280.2379058462534,2249.726613534352,2260.8139846968616,2.534840280845541e+33,1.2284695383003246e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
350,1703451600.0,2.2193627510742397e+19,2283.0223801965444,2276.233484247505,2278.9380603348673,2.5347438689306082e+33,1.2284125855919906e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
351,1703448000.0,2.2194324403585327e+19,2288.8218244682107,2274.767240019965,2278.7110598617055,2.5347155904496879e+33,1.2284003758049081e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
